Year,EC,FS,GT,KZN,LM,MP,NC,NW,WC
1985,2,2,4,4,3,1,0,2,1
1986,7,7,21,20,11,6,1,9,3
1987,16,18,51,51,24,14,1,21,6
1988,33,37,102,115,47,30,3,44,13
1989,61,69,184,242,82,60,6,82,23
1990,111,125,315,490,137,116,11,148,40
1991,199,223,541,974,224,219,20,263,68
1992,353,391,944,1880,359,405,37,467,115
1993,622,671,1627,3478,567,732,66,813,191
1994,1074,1120,2755,6092,884,1273,115,1379,314
1995,1800,1796,4539,10031,1352,2111,195,2261,507
1996,2888,2758,7220,15574,2010,3315,319,3575,801
1997,4392,4049,11011,22936,2893,5026,483,5271,1230
1998,6338,5698,16071,32014,4020,7212,702,7500,1838
1999,8779,7692,22521,42600,5437,9897,980,10248,2660
2000,11699,9956,30212,54119,7125,12986,1314,13407,3714
2001,14502,12120,37823,64594,8836,15997,1648,16536,4868
2002,17751,14478,45760,75069,10557,19616,2040,19578,6226
2003,21145,16780,53764,84921,12328,23340,2447,22468,7717
2004,24487,19101,60864,93692,14126,27281,2809,24829,8781
2005,25899,20848,62796,97151,15219,30477,2882,25063,7778
2006,25830,21464,61872,94157,15124,31995,2704,23757,7295
2007,24140,20292,60895,85727,13401,31793,2625,19123,7160
2008,23121,17964,59071,75610,12371,29517,2458,17715,7335
2009,21671,14803,57102,65447,11377,26585,2398,15539,7346
2010,20034,12386,52295,56644,10511,23712,2344,14285,7219
2011,18103,10436,45797,48043,9562,20567,2124,12936,7000
2012,16997,9346,43085,42831,9004,18545,1872,12292,7075
2013,16191,8443,42282,38469,8634,16647,1575,12207,7286
2014,15999,7917,44877,34927,8650,14902,1247,13024,7743
2015,16646,7754,50559,32683,9142,13556,1004,14420,8513
2016,16528,7349,52425,30159,9338,12200,865,14445,8845
2017,15276,6689,47879,27707,8924,11012,778,12699,8521
2018,13203,5849,39479,25228,7834,9938,723,10145,7591
2019,11515,5130,33077,23101,6839,9064,692,8286,6730
2020,10158,4534,28179,21297,5996,8365,676,6900,5980
2021,9205,4100,25012,19853,5399,7833,666,6001,5441
2022,8531,3782,22867,18711,4977,7431,658,5391,5050
2023,8062,3551,21409,17818,4685,7133,648,4974,4770
2024,7728,3378,20344,17121,4476,6916,640,4670,4558
2025,7488,3250,19560,16581,4326,6760,633,4445,4397
2026,7315,3156,18982,16167,4218,6652,627,4278,4272
2027,7191,3087,18560,15852,4140,6583,624,4153,4176
2028,7102,3039,18257,15612,4086,6542,621,4060,4102
2029,7036,3004,18042,15428,4047,6521,620,3989,4045
2030,6987,2980,17896,15285,4019,6515,619,3936,4001
2031,6947,2963,17800,15170,4000,6520,619,3894,3966
2032,6913,2950,17743,15074,3986,6530,619,3860,3939
2033,6881,2941,17713,14989,3975,6542,619,3833,3917
2034,6849,2932,17701,14910,3965,6556,618,3809,3899
2035,6815,2924,17702,14832,3956,6569,618,3786,3882
2036,6778,2915,17709,14752,3947,6580,617,3765,3866
2037,6737,2905,17719,14668,3935,6588,616,3743,3851
2038,6693,2893,17727,14578,3922,6592,615,3720,3834
2039,6645,2880,17730,14481,3906,6593,613,3695,3817
2040,6593,2865,17726,14376,3887,6591,611,3668,3797
